Stunde im Jahr [h]	Var1.Raumlufttemperatur [C]	Var2.Raumlufttemperatur [C]	Var3.Raumlufttemperatur [C]
411	4.99864	4.99777	4.99785
412	4.99864	4.99778	4.99785
413	4.99865	4.99779	4.99785
414	4.99865	4.99779	4.99785
415	4.99865	4.9978	4.99786
416	4.99865	4.99781	4.99786
417	4.99865	4.99782	4.99786
418	4.99865	4.99782	4.99787
419	4.99865	4.99783	4.99787
420	4.99865	4.99784	4.99787
421	4.99865	4.99784	4.99787
422	4.99865	4.99785	4.99788
423	4.99865	4.99786	4.99788
424	4.99866	4.99786	4.99788
425	4.99866	4.99787	4.99788
426	4.99866	4.99788	4.99789
427	4.99866	4.99788	4.99789
428	4.99866	4.99789	4.99789
429	4.99866	4.9979	4.99789
430	4.99866	4.9979	4.9979
431	4.99866	4.99791	4.9979
432	4.99866	4.99792	4.9979
433	4.99866	4.99792	4.99791
434	4.99866	4.99793	4.99791
435	4.99866	4.99794	4.99791
436	4.99866	4.99794	4.99791
437	4.99866	4.99795	4.99792
438	4.99867	4.99795	4.99792
439	4.99867	4.99796	4.99792
440	4.99867	4.99797	4.99793
441	4.99867	4.99797	4.99793
442	4.99867	4.99798	4.99793
443	4.99867	4.99799	4.99793
444	4.99867	4.99799	4.99794
445	4.99867	4.998	4.99794
446	4.99867	4.998	4.99794
447	4.99867	4.99801	4.99794
448	4.99867	4.99802	4.99795
449	4.99867	4.99802	4.99795
450	4.99868	4.99803	4.99795
451	4.99868	4.99803	4.99795
452	4.99868	4.99804	4.99796
453	4.99868	4.99805	4.99796
454	4.99868	4.99805	4.99796
455	4.99868	4.99806	4.99796
456	4.99868	4.99807	4.99797
457	4.99868	4.99807	4.99797
458	4.99868	4.99808	4.99797
459	4.99868	4.99808	4.99798
460	4.99868	4.99809	4.99798
461	4.99868	4.9981	4.99798
462	4.99868	4.9981	4.99798
463	4.99869	4.99811	4.99798
464	4.99869	4.99811	4.99799
465	4.99869	4.99812	4.99799
466	4.99869	4.99812	4.99799
467	4.99869	4.99813	4.998
468	4.99869	4.99814	4.998
469	4.99869	4.99814	4.998
470	4.99869	4.99815	4.998
471	4.99869	4.99815	4.99801
472	4.99869	4.99816	4.99801
473	4.99869	4.99817	4.99801
474	4.99869	4.99817	4.99801
475	4.99869	4.99818	4.99802
476	4.99869	4.99818	4.99802
477	4.9987	4.99819	4.99802
478	4.9987	4.99819	4.99802
479	4.9987	4.9982	4.99803
480	4.9987	4.99981	4.99846
481	4.9987	5.02843	5.00626
482	4.9987	5.14238	5.03749
483	4.9987	5.17558	5.04713
484	4.9987	5.17273	5.04647
485	4.9987	5.17532	5.0473
486	4.99871	5.18041	5.04882
487	4.99874	5.20423	5.05546
488	4.99879	5.21906	5.05978
489	4.99889	5.2001	5.05482
490	4.99905	5.26044	5.0714
491	4.99927	5.31793	5.08769
492	4.99954	5.36043	5.09983
493	4.99988	5.36269	5.10105
494	5.00028	5.3563	5.09978
495	5.00075	5.34636	5.09758
496	5.00128	5.42515	5.11958
497	5.00187	5.54794	5.15411
498	5.00255	5.62479	5.17631
499	5.0033	5.62546	5.17762
500	5.00413	5.61157	5.17474
501	5.00504	5.58604	5.16874
502	5.00603	5.55471	5.16113
503	5.00712	5.4957	5.14599
504	5.00832	5.46976	5.13977
505	5.00963	5.46106	5.13851
506	5.01106	5.46178	5.13992
507	5.01259	5.43678	5.13442
508	5.01419	5.42483	5.1324
509	5.01585	5.40793	5.12916
510	5.01753	5.40456	5.12957
511	5.01923	5.34746	5.11544
512	5.02091	5.1858	5.07244
513	5.02258	5.0686	5.04105
514	5.02421	5.07525	5.04362
515	5.02579	5.31683	5.11071
516	5.02732	5.5719	5.18258
517	5.02877	5.63961	5.20324
518	5.03012	5.62064	5.19949
519	5.03135	5.65351	5.20964
520	5.03245	5.65812	5.21226
521	5.03347	5.65226	5.21171
522	5.03445	5.61592	5.20283
523	5.03544	5.57406	5.19226
524	5.03647	5.54802	5.18603
525	5.03758	5.49195	5.17171
526	5.03877	5.39442	5.14592
527	5.04004	5.35197	5.13501
528	5.04137	5.37577	5.14253
529	5.04276	5.26776	5.11429
530	5.04418	5.2776	5.11752
531	5.04559	5.32004	5.13042
532	5.04697	5.31245	5.12956
533	5.0483	5.36128	5.14388
534	5.04956	5.39191	5.15355
535	5.05072	5.38989	5.15406
536	5.05179	5.39788	5.15717
537	5.05276	5.36696	5.14965
538	5.05365	5.41707	5.16394
539	5.05446	5.51268	5.19106
540	5.05521	5.60078	5.2162
541	5.05593	5.72359	5.25082
542	5.0566	5.69274	5.24376
543	5.05726	5.65809	5.23486
544	5.05791	5.61247	5.22318
545	5.05857	5.51732	5.19779
546	5.05928	5.45888	5.18219
547	5.06006	5.40596	5.16831
548	5.06091	5.44909	5.1806
549	5.06185	5.50762	5.19765
550	5.06284	5.51106	5.19968
551	5.06388	5.5223	5.20367
552	5.06492	5.51649	5.20314
553	5.06595	5.49988	5.19952
554	5.06696	5.52027	5.20595
555	5.06794	5.54507	5.21376
556	5.0689	5.53433	5.21182
557	5.06983	5.55149	5.21733
558	5.07075	5.53067	5.21265
559	5.07165	5.55023	5.21872
560	5.07254	5.59071	5.23075
561	5.07342	5.65628	5.24965
562	5.07429	5.7522	5.277
563	5.07517	5.80238	5.29202
564	5.07604	5.9174	5.32451
565	5.07691	6.10373	5.37694
566	5.0778	6.15079	5.39169
567	5.07872	6.18591	5.40254
568	5.0797	6.18496	5.40379
569	5.08075	6.18244	5.4044
570	5.08192	6.15341	5.39791
571	5.08323	6.1414	5.396
572	5.08472	6.07536	5.37955
573	5.08639	6.11665	5.39219
574	5.08824	6.1044	5.39097
575	5.09027	6.07159	5.38385
576	5.09245	5.85585	5.32694
577	5.09476	5.75969	5.30177
578	5.09717	5.62537	5.26699
579	5.09966	5.50866	5.23654
580	5.10218	5.32964	5.18925
581	5.10472	5.26812	5.17358
582	5.10721	5.20441	5.15789
583	5.10963	5.16493	5.1485
584	5.11189	5.13466	5.1417
585	5.11397	5.14565	5.146
586	5.1158	5.18806	5.1589
587	5.11736	5.27625	5.18422
588	5.11863	5.37645	5.21288
589	5.11959	5.38652	5.21679
590	5.12026	5.42519	5.2279
591	5.12065	5.43758	5.23195
592	5.12081	5.37249	5.21448
593	5.12077	5.26587	5.18519
594	5.12059	5.18556	5.16281
595	5.12031	5.06068	5.12827
596	5.11996	4.93831	5.09399
597	5.11957	4.98391	5.10556
598	5.11914	4.97652	5.1034
599	5.11867	4.96598	5.09988
600	5.11813	4.97764	5.10254
601	5.11751	4.99344	5.10633
602	5.11676	5.00933	5.11007
603	5.11588	5.0232	5.11317
604	5.11487	5.12216	5.13941
605	5.11374	5.21297	5.16378
606	5.11249	5.33068	5.1953
607	5.11115	5.45842	5.22975
608	5.10973	5.60632	5.26972
609	5.10826	5.72983	5.3032
610	5.10679	5.82958	5.33012
611	5.10534	5.92269	5.35522
612	5.10396	6.07606	5.39688
613	5.10271	6.14382	5.41562
614	5.10163	6.16776	5.42208
615	5.10078	6.21519	5.43509
616	5.10018	6.15508	5.41906
617	5.09987	6.12165	5.40992
618	5.09989	6.1176	5.40929
619	5.10023	6.14721	5.41808
620	5.1009	6.17897	5.42789
621	5.10188	6.04553	5.39281
622	5.10316	6.00779	5.3832
623	5.10468	6.1492	5.42333
624	5.10643	6.21719	5.44423
625	5.10835	6.26046	5.45808
626	5.11043	6.20664	5.44567
627	5.11262	6.13871	5.42898
628	5.1149	6.03899	5.40369
629	5.11725	6.04132	5.40603
630	5.11967	6.1052	5.42574
631	5.12216	6.08517	5.42275
632	5.1247	6.07224	5.42136
633	5.12727	5.89846	5.37624
634	5.12985	5.82556	5.35773
635	5.13242	5.90941	5.38261
636	5.13497	6.09357	5.4354
637	5.13747	6.11402	5.44393
638	5.13992	6.11098	5.44522
639	5.14229	6.1075	5.44652
640	5.14457	6.09184	5.44434
641	5.14677	6.06432	5.4388
642	5.14889	6.04443	5.43522
643	5.15095	6.03382	5.43417
644	5.15299	6.00895	5.4292
645	5.155	6.02602	5.43558
646	5.15699	6.01317	5.43401
647	5.15896	5.99046	5.42952
648	5.1609	5.93424	5.41589
649	5.16281	5.84331	5.39254
650	5.16468	5.88749	5.40586
651	5.1665	5.91754	5.41597
652	5.16828	5.90338	5.41373
653	5.16999	5.90228	5.41488
654	5.17164	6.03016	5.45128
655	5.17321	6.17526	5.49295
656	5.17471	6.31974	5.5344
657	5.17611	6.43238	5.56723
658	5.17745	6.58655	5.61128
659	5.17873	6.73002	5.65266
660	5.17999	6.94336	5.71309
661	5.18126	6.97415	5.72422
662	5.1826	6.90094	5.70607
663	5.18406	6.81512	5.68441
664	5.18568	6.45897	5.58889
665	5.18753	6.46795	5.59168
666	5.18963	6.51405	5.60685
667	5.19201	6.41305	5.58154
668	5.19465	6.43658	5.5899
669	5.1975	6.43945	5.59355
670	5.20051	6.43135	5.59394
671	5.20359	6.50827	5.61768
672	5.2067	6.57229	5.63834
673	5.2098	6.61151	5.65209
674	5.21285	6.63049	5.66026
675	5.21585	6.66626	5.67294
676	5.21879	6.60457	5.65907
677	5.22167	6.59046	5.65762
678	5.22451	6.59768	5.66231
679	5.22733	6.60743	5.66764
680	5.23014	6.62351	5.67472
681	5.23295	6.59395	5.66938
682	5.23575	6.57804	5.66751
683	5.23855	6.62312	5.68238
684	5.24134	6.77902	5.72776
685	5.24411	6.8519	5.75103
686	5.24686	6.79772	5.73916
687	5.2496	6.6953	5.71367
688	5.25231	6.63375	5.69914
689	5.255	6.59843	5.69189
690	5.2577	6.5604	5.68394
691	5.26042	6.45597	5.65782
692	5.26316	6.37741	5.63841
693	5.26591	6.32544	5.62643
694	5.26865	6.28881	5.61866
695	5.27135	6.16606	5.5874
696	5.27399	6.01119	5.54687
697	5.27654	5.81338	5.49444
698	5.27896	5.63616	5.4472
699	5.28124	5.50731	5.41308
700	5.28335	5.47196	5.40444
701	5.28526	5.4459	5.39856
702	5.28692	5.43686	5.39708
703	5.2883	5.40466	5.38921
704	5.28936	5.38751	5.38507
705	5.29006	5.38548	5.38492
706	5.2904	5.40455	5.39029
707	5.29036	5.41674	5.39363
708	5.28997	5.41119	5.39182
709	5.28926	5.439	5.39883
710	5.28825	5.44512	5.39989
711	5.28697	5.44444	5.39877
712	5.28546	5.42235	5.39166
713	5.28376	5.37612	5.3777
714	5.28191	5.32414	5.36196
715	5.27993	5.25932	5.34259
716	5.27785	5.1747	5.31764
717	5.2757	5.129	5.30311
718	5.27349	5.14687	5.30607
719	5.27123	5.14843	5.30478
720	5.26891	5.15491	5.30466
721	5.26653	5.15257	5.30219
722	5.26408	5.13054	5.29423
723	5.26154	5.12271	5.29001
724	5.25893	5.09552	5.28055
725	5.25625	5.02798	5.25988
726	5.2535	4.99034	5.24714
727	5.25071	4.95012	5.23382
728	5.24787	4.91997	5.22311
729	5.245	4.92128	5.22101
730	5.24209	4.92964	5.22095
731	5.23915	4.94978	5.22407
732	5.23617	4.98841	5.23228
733	5.23314	5.0955	5.25925
734	5.23007	5.16762	5.27701
735	5.22696	5.20916	5.28621
736	5.22382	5.19526	5.28025
737	5.22065	5.12837	5.25958
738	5.2175	5.01856	5.22696
739	5.21438	4.97705	5.21277
740	5.21132	4.9499	5.20287
741	5.20836	4.93215	5.19551
742	5.20549	4.90702	5.18628
743	5.20271	4.87859	5.17617
744	5.20001	4.83192	5.16112
745	5.19736	4.80067	5.1502
746	5.19475	4.77355	5.14052
747	5.19216	4.75545	5.13329
748	5.18956	4.72954	5.12397
749	5.18696	4.70176	5.11408
750	5.18434	4.67378	5.10411
751	5.18169	4.64714	5.09447
752	5.17901	4.63929	5.08993
753	5.17629	4.62717	5.08427
754	5.17353	4.63569	5.08416
755	5.17073	4.67424	5.09235
756	5.16788	4.6704	5.08907
757	5.16498	4.66024	5.08381
758	5.16205	4.67463	5.08528
759	5.15908	4.63722	5.07268
760	5.15609	4.60713	5.06178
761	5.15308	4.57084	5.04927
762	5.15007	4.54186	5.03867
763	5.14707	4.51202	5.02788
764	5.14409	4.45311	5.00913
765	5.14112	4.39121	4.98943
766	5.13816	4.25411	4.94921
767	5.13521	4.14365	4.91581
768	5.13227	4.09894	4.90052
769	5.12931	4.08729	4.89442
770	5.12633	4.10962	4.89767
771	5.12331	4.13045	4.90064
772	5.12021	4.15778	4.90533
773	5.11702	4.14797	4.89991
774	5.11372	4.1194	4.8891
775	5.11031	4.07008	4.87251
776	5.10678	4.03714	4.86018
777	5.10316	4.02297	4.85299
778	5.09946	3.97207	4.83574
779	5.0957	4.01767	4.84458
780	5.0919	4.05303	4.85114
781	5.08806	4.05602	4.84865
782	5.08418	4.06329	4.84725
783	5.08028	4.05703	4.8422
784	5.07634	3.97494	4.81638
785	5.07238	3.82673	4.7721
786	5.06843	3.76224	4.75037
787	5.06447	3.71286	4.73317
788	5.06054	3.64702	4.71136
789	5.05663	3.6136	4.69836
790	5.05273	3.55052	4.67742
791	5.04882	3.50766	4.66178
792	5.04488	3.44791	4.64166
793	5.04089	3.35503	4.6123
794	5.03683	3.26176	4.58263
795	5.03268	3.12585	4.54126
796	5.02844	2.9445	4.48712
797	5.02409	2.80785	4.44484
798	5.01963	2.75611	4.42581
799	5.01504	2.70813	4.40801
800	5.01031	2.64376	4.38553
801	5.00541	2.63166	4.37712
802	5.00031	2.71347	4.39444
803	4.99498	2.868	4.43188
