Zeit [h]	Variante 8.1 Raumlufttemperatur [C]	Variante 8.1 Wärmeleitung [W/m2]	Variante 8.1 Oberflächentemperatur [C]	Variante 8.2 Raumlufttemperatur [C]	Variante 8.2 Wärmeleitung [W/m2]	Variante 8.2 Oberflächentemperatur [C]	Variante 8.3 Raumlufttemperatur [C]	Variante 8.3 Wärmeleitung [W/m2]	Variante 8.3 Oberflächentemperatur [C]	Variante 8.4.Raumlufttemperatur [C]	Variante 8.4 Wärmeleitung [W/m2]	Variante 8.4 Oberflächentemperatur [C]
1986	40.52	6.4515	37.94	37.9420	-0.0002	37.8713	36.93	4.4097	35.29	35.292	0.0358	35.241
1987	40.52	6.4515	37.94	37.9430	-0.0002	37.8722	35.07	0.3008	35.04	35.042	0.0403	35.032
1988	40.52	6.4515	37.94	37.9440	-0.0002	37.8732	34.93	0.0229	34.92	34.919	0.0199	34.912
1989	40.53	6.4515	37.94	37.9450	-0.0002	37.8742	34.83	0.0148	34.83	34.828	0.0146	34.823
1990	40.53	6.4515	37.95	37.9459	-0.0002	37.8752	34.76	0.0119	34.76	34.756	0.0117	34.751
1991	40.53	6.4515	37.95	37.9469	-0.0002	37.8761	34.70	0.0102	34.69	34.693	0.0101	34.689
1992	40.53	6.4515	37.95	37.9479	-0.0002	37.8771	34.64	0.0092	34.64	34.636	0.0091	34.633
1993	40.53	6.4515	37.95	37.9488	-0.0002	37.8781	34.59	0.0086	34.58	34.583	0.0086	34.580
1994	40.53	6.4515	37.95	37.9498	-0.0002	37.8790	34.54	0.0082	34.53	34.532	0.0082	34.529
1995	40.53	6.4515	37.95	37.9508	-0.0002	37.8800	34.49	0.0080	34.48	34.483	0.0080	34.480
1996	40.53	6.4515	37.95	37.9517	-0.0002	37.8809	34.44	0.0079	34.43	34.434	0.0078	34.431
1997	40.53	6.4515	37.95	37.9527	-0.0002	37.8819	34.39	0.0078	34.39	34.386	0.0078	34.383
1998	40.53	6.4515	37.95	37.9536	-0.0002	37.8828	34.34	0.0077	34.34	34.338	0.0077	34.335
1999	40.54	6.4515	37.95	37.9546	-0.0002	37.8838	36.06	3.7557	34.46	34.461	-0.0198	34.420
2000	40.54	6.4515	37.96	37.9555	-0.0002	37.8847	38.43	8.9726	34.71	34.713	-0.0406	34.619
2001	40.54	6.4515	37.96	37.9564	-0.0002	37.8857	40.32	13.0818	34.99	34.991	-0.0448	34.856
2002	40.54	6.4515	37.96	37.9574	-0.0002	37.8866	40.49	13.3598	35.14	35.142	-0.0243	35.003
2003	40.54	6.4515	37.96	37.9583	-0.0002	37.8875	40.61	13.3680	35.26	35.258	-0.0188	35.118
2004	40.54	6.4515	37.96	37.9592	-0.0002	37.8885	39.58	10.9722	35.25	35.248	0.0016	35.132
2005	40.54	6.4515	37.96	37.9602	-0.0001	37.8894	39.61	10.8015	35.29	35.289	-0.0066	35.173
2006	40.54	6.4515	37.96	37.9611	-0.0001	37.8903	40.78	13.1979	35.44	35.444	-0.0249	35.304
2007	40.54	6.4515	37.96	37.9620	-0.0001	37.8912	40.89	13.3700	35.54	35.539	-0.0154	35.398
2008	40.54	6.4515	37.96	37.9629	-0.0001	37.8922	40.97	13.3733	35.62	35.624	-0.0137	35.482
2009	40.54	6.4515	37.96	37.9638	-0.0001	37.8931	39.29	9.6261	35.53	35.533	0.0146	35.430
2010	40.55	6.4515	37.96	37.9648	-0.0001	37.8940	36.95	4.4097	35.31	35.311	0.0358	35.260
2011	40.55	6.4515	37.97	37.9657	-0.0001	37.8949	35.09	0.3008	35.06	35.061	0.0403	35.051
2012	40.55	6.4515	37.97	37.9666	-0.0001	37.8958	34.94	0.0229	34.94	34.937	0.0200	34.931
2013	40.55	6.4515	37.97	37.9675	-0.0001	37.8967	34.85	0.0149	34.85	34.847	0.0146	34.842
2014	40.55	6.4515	37.97	37.9684	-0.0001	37.8976	34.78	0.0119	34.77	34.774	0.0118	34.770
2015	40.55	6.4515	37.97	37.9693	-0.0001	37.8985	34.72	0.0102	34.71	34.711	0.0101	34.708
2016	40.55	6.4515	37.97	37.9702	-0.0001	37.8994	34.66	0.0092	34.65	34.655	0.0091	34.651
2017	40.55	6.4515	37.97	37.9711	-0.0001	37.9003	34.60	0.0086	34.60	34.602	0.0086	34.598
2018	40.55	6.4515	37.97	37.9719	-0.0001	37.9012	34.55	0.0082	34.55	34.551	0.0082	34.547
2019	40.55	6.4515	37.97	37.9728	-0.0001	37.9021	34.50	0.0080	34.50	34.501	0.0080	34.498
2020	40.55	6.4515	37.97	37.9737	-0.0001	37.9029	34.46	0.0079	34.45	34.452	0.0079	34.449
2021	40.56	6.4515	37.97	37.9746	-0.0001	37.9038	34.41	0.0078	34.40	34.404	0.0078	34.401
2022	40.56	6.4515	37.98	37.9755	-0.0001	37.9047	34.36	0.0077	34.36	34.357	0.0077	34.354
2023	40.56	6.4515	37.98	37.9763	-0.0001	37.9056	36.07	3.7557	34.48	34.479	-0.0198	34.438
