Zeit [h]	Variante 8.1 Raumlufttemperatur [C]	Variante 8.1 Wärmeleitung [W/m2]	Variante 8.1 Oberflächentemperatur [C]	Variante 8.2 Raumlufttemperatur [C]	Variante 8.2 Wärmeleitung [W/m2]	Variante 8.2 Oberflächentemperatur [C]	Variante 8.3 Raumlufttemperatur [C]	Variante 8.3 Wärmeleitung [W/m2]	Variante 8.3 Oberflächentemperatur [C]	Variante 8.4.Raumlufttemperatur [C]	Variante 8.4 Wärmeleitung [W/m2]	Variante 8.4 Oberflächentemperatur [C]
7827	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	34.491	34.75	34.486	34.488	9.58E-03	34.488
7828	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	34.441	34.7	34.436	34.438	9.43E-03	34.438
7829	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	34.408	34.65	34.388	34.389	8.41E-03	34.389
7830	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	35.138	34.6	34.392	34.394	-9.96E-03	34.394
7831	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	37.071	36.18	34.539	34.541	-0.033713333	34.541
7832	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	39.185	38.47	34.792	34.794	-0.043431667	34.794
7833	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	40.334	40.37	35.036	35.038	-0.031586667	35.038
7834	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	40.534	40.64	35.196	35.198	-0.019733333	35.198
7835	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	40.171	40.78	35.283	35.284	-4.90E-03	35.284
7836	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	39.666	39.84	35.304	35.306	-3.07E-03	35.306
7837	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	40.158	39.82	35.376	35.377	-0.017535	35.377
7838	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	40.823	40.91	35.503	35.505	-0.018028333	35.505
7839	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	40.938	41.07	35.603	35.605	-1.23E-02	35.605
7840	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	40.245	41.16	35.635	35.637	7.23E-03	35.637
7841	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	38.344	39.61	35.52	35.521	0.031576667	35.521
7842	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	36.259	37.35	35.296	35.297	0.041663333	35.297
7843	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	35.137	35.48	35.078	35.08	0.030051667	35.08
7844	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	34.953	35.23	34.944	34.946	0.018933333	34.946
7845	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	34.857	35.12	34.849	34.851	1.51E-02	34.851
7846	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	34.779	35.04	34.772	34.774	1.29E-02	34.774
7847	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	34.711	34.97	34.706	34.707	1.16E-02	34.707
7848	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	34.651	34.91	34.646	34.648	1.07E-02	34.648
7849	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	34.596	34.85	34.59	34.592	1.02E-02	34.592
7850	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	34.543	34.8	34.537	34.539	9.81E-03	34.539
7851	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	34.492	34.75	34.486	34.488	9.58E-03	34.488
7852	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	34.442	34.7	34.437	34.438	9.43E-03	34.438
7853	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	34.409	34.65	34.388	34.39	8.34E-03	34.39
7854	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	35.138	34.6	34.392	34.394	-1.01E-02	34.394
7855	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	37.071	36.18	34.54	34.541	-0.033815	34.541
7856	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	39.186	38.47	34.792	34.794	-0.043388333	34.794
7857	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	40.334	40.37	35.037	35.039	-0.03147	35.039
7858	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	40.534	40.64	35.196	35.198	-0.019658333	35.198
7859	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	40.171	40.78	35.283	35.285	-4.83E-03	35.285
7860	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	39.666	39.84	35.304	35.306	-3.17E-03	35.306
7861	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	40.159	39.82	35.376	35.378	-0.017596667	35.378
7862	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	40.823	40.91	35.504	35.506	-0.01797	35.506
7863	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	40.939	41.07	35.603	35.605	-1.22E-02	35.605
7864	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	40.246	41.16	35.636	35.637	7.42E-03	35.637
7865	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	38.345	39.61	35.52	35.522	0.031681667	35.522
7866	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	36.26	37.35	35.296	35.298	0.041621667	35.298
7867	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	35.138	35.48	35.079	35.08	0.029936667	35.08
7868	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	34.954	35.23	34.945	34.946	0.018906667	34.946
7869	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	34.857	35.12	34.85	34.851	1.51E-02	34.851
7870	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	34.779	35.04	34.772	34.774	1.29E-02	34.774
7871	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	34.712	34.97	34.706	34.708	1.16E-02	34.708
7872	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	34.652	34.91	34.646	34.648	1.07E-02	34.648
7873	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	34.596	34.85	34.591	34.592	1.02E-02	34.592
7874	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	34.543	34.8	34.538	34.54	9.81E-03	34.54
7875	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	34.492	34.75	34.487	34.489	9.59E-03	34.489
