Zeit [h]	Variante 8.1 Raumlufttemperatur [C]	Variante 8.1 Wärmeleitung [W/m2]	Variante 8.1 Oberflächentemperatur [C]	Variante 8.2 Raumlufttemperatur [C]	Variante 8.2 Wärmeleitung [W/m2]	Variante 8.2 Oberflächentemperatur [C]	Variante 8.3 Raumlufttemperatur [C]	Variante 8.3 Wärmeleitung [W/m2]	Variante 8.3 Oberflächentemperatur [C]	Variante 8.4.Raumlufttemperatur [C]	Variante 8.4 Wärmeleitung [W/m2]	Variante 8.4 Oberflächentemperatur [C]
4660	40.822	6.452	38.242	38.242	0.000	38.242	34.585	0.008	34.582	34.563	0.008	34.560
4661	40.822	6.452	38.242	38.242	0.000	38.242	34.625	0.188	34.550	34.596	0.159	34.533
4662	40.822	6.452	38.242	38.242	0.000	38.242	36.352	3.813	34.827	34.851	0.010	34.847
4663	40.822	6.452	38.242	38.242	0.000	38.242	38.814	8.865	35.269	35.264	-0.119	35.311
4664	40.822	6.452	38.242	38.242	0.000	38.242	40.722	12.687	35.647	35.618	-0.211	35.703
4665	40.822	6.452	38.242	38.242	0.000	38.242	41.125	13.373	35.776	35.780	-0.025	35.790
4666	40.822	6.452	38.242	38.242	0.000	38.242	41.121	13.217	35.834	35.825	-0.077	35.856
4667	40.822	6.452	38.242	38.242	0.000	38.242	40.148	11.085	35.713	35.759	0.108	35.715
4668	40.822	6.452	38.242	38.242	0.000	38.242	40.116	10.918	35.748	35.804	0.091	35.768
4669	40.822	6.452	38.242	38.242	0.000	38.242	41.190	13.013	35.984	35.975	-0.139	36.030
4670	40.822	6.452	38.242	38.242	0.000	38.242	41.435	13.375	36.085	36.102	-0.022	36.111
4671	40.822	6.452	38.242	38.242	0.000	38.242	41.503	13.369	36.156	36.083	-0.186	36.157
4672	40.822	6.452	38.242	38.242	0.000	38.242	39.695	9.529	35.884	35.899	0.043	35.881
4673	40.822	6.452	38.242	38.242	0.000	38.242	37.307	4.581	35.474	35.502	0.127	35.452
4674	40.822	6.452	38.242	38.242	0.000	38.242	35.358	0.619	35.110	35.139	0.127	35.088
4675	40.822	6.452	38.242	38.242	0.000	38.242	34.985	-0.053	35.006	35.025	-0.020	35.033
4676	40.822	6.452	38.242	38.242	0.000	38.242	34.965	0.007	34.963	34.990	0.004	34.989
4677	40.822	6.452	38.242	38.242	0.000	38.242	34.917	0.008	34.914	34.943	0.008	34.940
4678	40.822	6.452	38.242	38.242	0.000	38.242	34.869	0.008	34.866	34.895	0.008	34.892
4679	40.822	6.452	38.242	38.242	0.000	38.242	34.821	0.008	34.817	34.846	0.008	34.843
4680	40.822	6.452	38.242	38.242	0.000	38.242	34.773	0.008	34.770	34.799	0.008	34.795
4681	40.822	6.452	38.242	38.242	0.000	38.242	34.725	0.008	34.722	34.751	0.008	34.748
4682	40.822	6.452	38.242	38.242	0.000	38.242	34.677	0.008	34.674	34.703	0.008	34.700
4683	40.822	6.452	38.242	38.242	0.000	38.242	34.629	0.008	34.626	34.655	0.008	34.652
4684	40.822	6.452	38.242	38.242	0.000	38.242	34.582	0.008	34.579	34.668	0.107	34.625
4685	40.822	6.452	38.242	38.242	0.000	38.242	34.952	0.857	34.609	34.756	0.333	34.622
4686	40.822	6.452	38.242	38.242	0.000	38.242	36.364	3.826	34.833	34.929	0.016	34.923
4687	40.822	6.452	38.242	38.242	0.000	38.242	38.775	8.770	35.267	35.348	-0.106	35.390
4688	40.822	6.452	38.242	38.242	0.000	38.242	40.798	12.828	35.667	35.724	-0.160	35.788
4689	40.822	6.452	38.242	38.242	0.000	38.242	41.132	13.371	35.784	35.863	-0.022	35.872
4690	40.822	6.452	38.242	38.242	0.000	38.242	41.196	13.354	35.854	35.915	-0.053	35.936
4691	40.822	6.452	38.242	38.242	0.000	38.242	40.216	11.207	35.733	35.855	0.167	35.788
4692	40.822	6.452	38.242	38.242	0.000	38.242	40.120	10.909	35.757	35.870	0.086	35.836
4693	40.822	6.452	38.242	38.242	0.000	38.242	41.197	13.009	35.993	36.063	-0.106	36.106
4694	40.822	6.452	38.242	38.242	0.000	38.242	41.443	13.372	36.094	36.176	-0.019	36.184
4695	40.822	6.452	38.242	38.242	0.000	38.242	41.480	13.302	36.159	36.154	-0.184	36.228
4696	40.822	6.452	38.242	38.242	0.000	38.242	39.702	9.525	35.892	35.958	0.034	35.944
4697	40.822	6.452	38.242	38.242	0.000	38.242	37.318	4.585	35.484	35.537	0.104	35.495
4698	40.822	6.452	38.242	38.242	0.000	38.242	35.371	0.627	35.120	35.156	0.110	35.112
