Zeit [h]	Variante 8.1 Raumlufttemperatur [C]	Variante 8.1 Wärmeleitung [W/m2]	Variante 8.1 Oberflächentemperatur [C]	Variante 8.2 Raumlufttemperatur [C]	Variante 8.2 Wärmeleitung [W/m2]	Variante 8.2 Oberflächentemperatur [C]	Variante 8.3 Raumlufttemperatur [C]	Variante 8.3 Wärmeleitung [W/m2]	Variante 8.3 Oberflächentemperatur [C]	Variante 8.4.Raumlufttemperatur [C]	Variante 8.4 Wärmeleitung [W/m2]	Variante 8.4 Oberflächentemperatur [C]
1252	37.45	6.45	34.87	34.87	0.00	34.88	31.90	0.01	31.90	31.90	0.01	31.90
1253	37.47	6.45	34.89	34.89	0.00	34.89	31.86	0.01	31.86	31.86	0.01	31.86
1254	37.48	6.45	34.90	34.90	0.00	34.90	31.82	0.01	31.82	31.82	0.01	31.82
1255	37.49	6.45	34.91	34.91	0.00	34.91	33.42	3.77	31.91	31.91	-0.02	31.91
1256	37.50	6.45	34.92	34.92	0.00	34.92	35.71	8.98	32.12	32.12	-0.04	32.14
1257	37.51	6.45	34.93	34.93	0.00	34.93	37.62	13.07	32.39	32.39	-0.04	32.41
1258	37.52	6.45	34.94	34.94	0.00	34.94	37.90	13.34	32.57	32.57	-0.03	32.58
1259	37.53	6.45	34.95	34.95	0.00	34.95	38.05	13.36	32.70	32.70	-0.02	32.71
1260	37.54	6.45	34.96	34.96	0.00	34.96	37.12	10.96	32.74	32.74	-0.01	32.74
1261	37.55	6.45	34.97	34.97	0.00	34.97	37.11	10.81	32.78	32.78	-0.01	32.79
1262	37.56	6.45	34.98	34.98	0.00	34.98	38.20	13.21	32.92	32.92	-0.02	32.93
1263	37.57	6.45	34.99	34.99	0.00	35.00	38.37	13.36	33.03	33.03	-0.02	33.04
1264	37.59	6.45	35.01	35.01	0.00	35.01	38.47	13.37	33.13	33.13	-0.02	33.13
1265	37.60	6.45	35.02	35.02	0.00	35.02	36.93	9.61	33.09	33.09	0.01	33.08
1266	37.61	6.45	35.03	35.03	0.00	35.03	34.68	4.40	32.92	32.92	0.03	32.91
1267	37.62	6.45	35.04	35.04	0.00	35.04	32.82	0.31	32.70	32.70	0.04	32.69
1268	37.63	6.45	35.05	35.05	0.00	35.05	32.58	0.04	32.57	32.57	0.02	32.56
