Test Case	Variable	ToolID	Tool Name	Version	Unit	Editor	Fehlercode	Average [-]	CVRMSE [%]	Daily Amplitude CVRMSE [%]	MBE	MSE [%]	Max Difference [-]	Maximum [-]	Minimum [-]	NMBE [%]	NRMSE [%]	R squared [-]	RMSE [%]	RMSEIQR [%]	RMSLE [%]	std dev [-]	Reference	SimQ-Score [%]	SimQ-Rating
01-Sonnenstand	Shanghai Altitude	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	33.13	1.16	0.38	-0.25	0.15	0.84	77.51	1.42	-0.76	0.51	99.96	0.39	1.41	0.02189	18.33	True	99.22	Perfect
01-Sonnenstand	Shanghai Azimuth	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	180.15	0.29	0.38	0.18	0.27	1.67	291.15	68.92	0.1	0.23	99.99	0.52	0.46	0.00389	60.66	True	99.69	Perfect
01-Sonnenstand	Kaxgar Altitude	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	29.24	1.5	0.57	-0.26	0.19	0.89	69.41	1.29	-0.89	0.65	99.93	0.44	1.82	0.02993	16.6	True	98.88	Perfect
01-Sonnenstand	Kaxgar Azimuth	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	180.13	0.29	0.37	0.33	0.27	1.29	293.21	66.77	0.19	0.23	99.99	0.52	0.51	0.00394	57.86	True	99.64	Perfect
01-Sonnenstand	Singapur Altitude	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	42.83	0.87	0.46	-0.03	0.14	0.85	87.6	1.59	-0.07	0.43	99.97	0.37	0.94	0.02219	22.97	True	99.37	Perfect
01-Sonnenstand	Singapur Azimuth	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	180.13	2.5	0.78	0.34	20.21	118.96	359.41	0.98	0.19	1.26	99.71	4.5	2.91	0.02764	83.77	True	98.2	Perfect
01-Sonnenstand	Lima Altitude	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	43.05	0.46	0.51	0.06	0.04	0.57	88.87	1.67	0.14	0.22	99.99	0.2	0.51	0.01033	23.48	True	99.66	Perfect
01-Sonnenstand	Lima Azimuth	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	180.09	2.68	0.44	-0.07	23.29	213.44	359.38	0.3	-0.04	1.34	99.77	4.83	2.67	0.02892	99.88	True	98.4	Perfect
01-Sonnenstand	Denver Altitude	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	29.07	1.52	1.04	-0.33	0.2	0.85	69.08	1.22	-1.14	0.66	99.93	0.45	1.85	0.02597	16.53	True	98.93	Perfect
01-Sonnenstand	Denver Azimuth	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	180.34	0.24	0.35	-0.16	0.19	1.04	293.45	66.83	-0.09	0.19	99.99	0.43	0.43	0.00262	57.75	True	99.72	Perfect
01-Sonnenstand	Barrow Altitude	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	14.59	2.82	0.88	-0.3	0.18	0.66	37.61	1.29	-2.0	1.16	99.85	0.42	3.1	0.05545	10.67	True	97.4	Perfect
01-Sonnenstand	Barrow Azimuth	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	180.08	0.13	0.13	-0.19	0.05	0.4	338.97	21.41	-0.11	0.07	100.0	0.23	0.25	0.00157	70.68	True	99.79	Perfect
01-Sonnenstand	Melbourne Altitude	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	34.94	0.59	0.35	-0.0	0.04	0.47	75.73	1.69	-0.0	0.28	99.99	0.21	0.64	0.01677	19.37	True	99.47	Perfect
01-Sonnenstand	Melbourne Azimuth	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	180.12	4.17	0.39	0.23	56.16	119.67	359.79	0.17	0.13	2.09	99.62	7.49	3.23	0.04262	122.37	True	97.84	Perfect
01-Sonnenstand	Potsdam Altitude	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	22.87	0.74	0.4	-0.09	0.03	0.43	56.88	1.85	-0.4	0.31	99.99	0.17	0.89	0.013	14.14	True	99.09	Perfect
01-Sonnenstand	Potsdam Azimuth	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	180.05	0.04	0.11	0.01	0.01	0.23	299.77	60.18	0.0	0.03	100.0	0.07	0.08	0.00043	55.87	True	99.92	Perfect
01-Sonnenstand	Shanghai Altitude	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	33.38	0.4	0.21	-0.01	0.02	0.27	78.09	1.81	-0.03	0.17	99.99	0.13	0.48	0.00897	18.41	True	99.6	Perfect
01-Sonnenstand	Shanghai Azimuth	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	180.09	0.1	0.14	0.11	0.03	0.75	291.44	68.59	0.06	0.08	100.0	0.19	0.17	0.00107	60.99	True	99.86	Perfect
01-Sonnenstand	Kaxgar Altitude	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	29.4	0.87	0.37	-0.1	0.07	0.51	69.79	1.82	-0.34	0.38	99.98	0.26	1.06	0.01981	16.65	True	99.12	Perfect
01-Sonnenstand	Kaxgar Azimuth	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	180.11	0.2	0.14	0.31	0.13	0.99	293.49	66.48	0.17	0.16	100.0	0.36	0.35	0.00232	58.05	True	99.74	Perfect
